FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2016-12-09,296626.0,103922.0,13386.0,98696.0,1030.0,130744.0
2018-07-09,493840.0,166658.0,40644.0,117042.0,28.0,253206.0
2016-12-15,664426.0,171810.0,25960.0,217724.0,760.0,288826.0
2018-11-27,574176.0,189304.0,23504.0,158120.0,906.0,272222.0
2018-10-29,102330.0,88382.0,2202.0,40816.0,192.0,79960.0
2016-12-31,90968.0,60602.0,2936.0,22852.0,410.0,40536.0
2018-10-03,133736.0,96940.0,9914.0,71502.0,508.0,91488.0
2018-07-07,233752.0,129914.0,6760.0,37598.0,846.0,111270.0
2018-11-17,374918.0,143566.0,26910.0,83024.0,706.0,176766.0
2018-05-16,727790.0,231542.0,47514.0,169038.0,1332.0,330954.0
2018-10-13,375400.0,111474.0,65506.0,113818.0,824.0,196390.0
2018-10-15,581680.0,185344.0,15042.0,190532.0,496.0,315148.0
2016-03-03,200582.0,93760.0,5900.0,82916.0,252.0,95030.0
2018-05-29,359532.0,141866.0,54594.0,103084.0,656.0,165430.0
2018-07-01,400428.0,146336.0,24602.0,111708.0,476.0,173512.0
2018-11-05,299536.0,131222.0,10620.0,112848.0,506.0,160688.0
2016-03-04,302266.0,104462.0,6620.0,119480.0,622.0,137522.0
2016-01-06,300654.0,96856.0,10470.0,92590.0,650.0,141322.0
2018-10-24,96834.0,93884.0,7092.0,56900.0,106.0,76226.0
2018-05-06,224834.0,121604.0,5580.0,50120.0,404.0,120624.0
2018-05-18,490408.0,166522.0,11294.0,150048.0,284.0,229910.0
2016-12-24,204036.0,94702.0,8604.0,26648.0,202.0,87018.0
2016-01-20,129608.0,83966.0,9230.0,47824.0,4.0,69172.0
2016-12-29,315052.0,110982.0,8494.0,77500.0,766.0,135868.0
2016-03-23,161188.0,80620.0,9754.0,40168.0,868.0,73544.0
2018-05-27,255304.0,110558.0,16212.0,111258.0,212.0,133454.0
2018-07-27,793996.0,195032.0,94526.0,297252.0,512.0,286594.0
2018-11-08,304172.0,140438.0,18848.0,99952.0,222.0,156460.0
2016-01-10,476368.0,163468.0,32152.0,89272.0,814.0,211780.0
