ORIGIN,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
FOD,3478,4039,221,451,0,1367
DDC,8606,12584,1725,437,0,1767
VCT,4415,5262,251,216,0,2910
CDB,4267,558,282,1080,1637,2248
TBN,-401,152,0,25,95,353
PUW,4771,1784,832,1193,6,3387
ALS,12514,11800,34,351,0,3771
BIH,2204,1629,134,0,0,224
EAT,3847,2373,424,878,0,1899
YKM,899,1193,330,627,0,1452
DEC,5220,8436,737,1032,0,1318
MCW,5592,4425,1016,1030,16,1394
JST,6925,7187,1055,417,16,1180
ALW,2658,1748,441,510,0,1943
ENV,314,null,null,null,null,null
TKI,90,null,null,null,null,null
IPT,402,562,0,23,0,0
